"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"Charlie_2009-11-17_1054_Sent.txt"	".txt"	"r"	""	"2009-12-05 02:51:37 PKT"	"2009-12-05 02:45:30 PKT"	"2009-12-05 02:45:30 PKT"	"253"	"107"	"9678e7a4ca1a4085243aaf0cf7c1eec4"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-17_1054_Sent.txt"
"Charlie_2009-11-18_0903_Received.txt"	".txt"	"r"	""	"2009-12-11 03:27:43 PKT"	"2009-12-04 22:20:11 PKT"	"2009-12-04 22:20:11 PKT"	"488"	"55"	"4a760e2684ae936ed31845689762ae50"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0903_Received.txt"
"Charlie_2009-11-18_0927_Received.txt"	".txt"	"r"	""	"2009-12-04 22:20:28 PKT"	"2009-12-04 22:20:28 PKT"	"2009-12-04 22:20:28 PKT"	"299"	"59"	"f32c6d7d62a1d04d86ab1caadb6a9705"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0927_Received.txt"
"Charlie_2009-11-18_0929_Received.txt"	".txt"	"r"	""	"2009-12-05 02:39:54 PKT"	"2009-12-04 22:20:43 PKT"	"2009-12-04 22:20:43 PKT"	"264"	"60"	"50e5f246c051c580e031e7cb87dfb6d9"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0929_Received.txt"
"Charlie_2009-11-18_0939_Received.txt"	".txt"	"r"	""	"2009-12-04 22:20:52 PKT"	"2009-12-04 22:20:52 PKT"	"2009-12-04 22:20:52 PKT"	"881"	"61"	"ba0d402fb4875e8697f59d9092510f41"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0939_Received.txt"
"Charlie_2009-11-18_0939_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 22:20:52 PKT"	"2009-12-04 22:20:52 PKT"	"2009-12-04 22:20:52 PKT"	"3215"	"61"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0939_Received.txt-slack"
"Charlie_2009-11-18_0940_Received.txt"	".txt"	"r"	""	"2009-12-04 22:24:13 PKT"	"2009-12-04 22:21:01 PKT"	"2009-12-04 22:21:01 PKT"	"784"	"62"	"f6c51678245c453427a3b041713ac2f4"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0940_Received.txt"
"Charlie_2009-11-18_0940_Received.txt-slack"	".txt-slack"	"r"	""	"2009-12-04 22:24:13 PKT"	"2009-12-04 22:21:01 PKT"	"2009-12-04 22:21:01 PKT"	"3312"	"62"	"null"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_0940_Received.txt-slack"
"Charlie_2009-11-18_1001_Received.txt"	".txt"	"r"	""	"2009-12-04 22:21:11 PKT"	"2009-12-04 22:21:11 PKT"	"2009-12-04 22:21:11 PKT"	"495"	"63"	"003e01ab971c15ee1a7cf1493ed5b6b3"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1001_Received.txt"
"Charlie_2009-11-18_1004a_Received.txt"	".txt"	"r"	""	"2009-12-04 22:22:42 PKT"	"2009-12-04 22:21:31 PKT"	"2009-12-04 22:21:31 PKT"	"1163"	"64"	"4b2208e392687f2b9efcac6996f5e677"	"unknown"	"rrwxrwxrwx"	"/img_evidence.E01/vol_vol2/Email/Charlie_2009-11-18_1004a_Received.txt"
